studen_A, 2015301200001, 4.0, 3.0, 2.0, 1.0
studen_B, 2015301200002, 3.9, 2.9, 1.9, 0.9
studen_C, 2015301200003, 3.8, 2.8, 1.8, 0.8
studen_D, 2015301200004, 3.7, 2.7, 1.7, 0.7
studen_E, 2015301200005, 3.6, 2.6, 1.6, 0.6
studen_F, 2015301200006, 3.5, 2.5, 1.5, 0.5
studen_A, 2015301200001, 4.0, 3.0, 2.0, 1.0
studen_B, 2015301200002, 3.9, 2.9, 1.9, 0.9
studen_C, 2015301200003, 3.8, 2.8, 1.8, 0.8
studen_D, 2015301200004, 3.7, 2.7, 1.7, 0.7
studen_E, 2015301200005, 3.6, 2.6, 1.6, 0.6
studen_F, 2015301200006, 3.5, 2.5, 1.5, 0.5
