label,id
0,gossipcop-152704263
0,gossipcop-403336283
0,gossipcop-870486
0,gossipcop-907793
0,gossipcop-8960795420
0,gossipcop-929592
0,gossipcop-907418
0,gossipcop-898468
0,gossipcop-895517
0,gossipcop-899671
0,gossipcop-2123292210
0,gossipcop-5722761061
0,gossipcop-883288
0,gossipcop-882628
0,gossipcop-4209137568
0,gossipcop-871232
0,gossipcop-924635
0,gossipcop-926077
0,gossipcop-4274245097
0,gossipcop-952646
0,gossipcop-927230
0,gossipcop-870871
0,gossipcop-1036415470
0,gossipcop-936468
0,gossipcop-948327
0,gossipcop-874785
0,gossipcop-873395
0,gossipcop-884622
0,gossipcop-877972081
0,gossipcop-949134
0,gossipcop-909582
0,gossipcop-5073552813
0,gossipcop-2249727095
0,gossipcop-947365
0,gossipcop-927636
0,gossipcop-890057
0,gossipcop-7989668967
0,gossipcop-884157
0,gossipcop-903966
0,gossipcop-9487142116
0,gossipcop-881159
0,gossipcop-888592
0,gossipcop-924235
0,gossipcop-883748
0,gossipcop-944828
0,gossipcop-856693
0,gossipcop-861617
0,gossipcop-871826
0,gossipcop-846028
0,gossipcop-892057
0,gossipcop-945324
0,gossipcop-7115346331
0,gossipcop-9553363490
0,gossipcop-885176
0,gossipcop-859153
0,gossipcop-7916840350
0,gossipcop-3864619614
0,gossipcop-3072780736
0,gossipcop-6859685462
0,gossipcop-879700
0,gossipcop-948851
0,gossipcop-8068302468
0,gossipcop-3554672356
0,gossipcop-891822
0,gossipcop-5994484144
0,gossipcop-6397975184
0,gossipcop-900331
0,gossipcop-925735
0,gossipcop-899998
0,gossipcop-876834
0,gossipcop-889033
0,gossipcop-890464
0,gossipcop-4791025444
0,gossipcop-3448636303
0,gossipcop-870314
0,gossipcop-900290
0,gossipcop-936229
0,gossipcop-864167
0,gossipcop-843369
0,gossipcop-897530
0,gossipcop-7379846746
0,gossipcop-870957
0,gossipcop-7010369703
0,gossipcop-906185
0,gossipcop-7231509293
0,gossipcop-910178
0,gossipcop-887595
0,gossipcop-903329
0,gossipcop-5774819182
0,gossipcop-947326
0,gossipcop-884250
0,gossipcop-909447
0,gossipcop-893479
0,gossipcop-848526
0,gossipcop-927674
0,gossipcop-902348
0,gossipcop-886915
0,gossipcop-906751
0,gossipcop-893993
0,gossipcop-944236
0,gossipcop-926115
